names,mean_rv,
Berkeley_17,-73.34,
Collinder_261,-24.67,
NGC_6791,-47.46,
Berkeley_39,59.89,
NGC_188,-41.82,
Berkeley_20,70,
King_2,-135.79,
NGC_6253,-27.97,
Berkeley_32,105.5,
NGC_1193,-85.16,
Berkeley_70,-15.12,
Berkeley_18,-2.00,
Berkeley_12,,
Trumpler_5,49.99,
NGC_7142,-49.70,
Melotte_66,21.94,
Berkeley_22,95.30,
NGC_7789,-54.49,
Berkeley_99,-62.28,
NGC_2682,33.92,
Berkeley_19,17.44,
NGC_6819,2.78,
Berkeley_21,-0.6,
Berkeley_31,56.99,
NGC_2420,74.26,
NGC_6939,-18.99,
NGC_2112,30.86,
NGC_1798,2.55,
NGC_2141,26.96,
IC_1311,-63.15,
Berkeley_14,4.8,
Gulliver_55,,
NGC_2354,33.4,
Gulliver_4,,
NGC_2192,,
Collinder_110,38.17,
Ruprecht_75,-2.18,
NGC_2627,28.68,
Gulliver_1,,
Trumpler_20,-39.82,
Collinder_74,20.18,
NGC_3960,-22.54,
King_5,-43.78,
NGC_7044,-48.66,
IC_166,-39.85,
NGC_6005,-24.75,
NGC_3680,1.74,
IC_4651,-31.0,
King_11,-24.61,
NGC_2660,23.60,
NGC_2204,92.42,
NGC_2243,59.65,
Pismis_3,30.33,
NGC_2158,27.37,
Berkeley_29,25.27,
Tombaugh_2,120.90,
NGC_2849,,
NGC_6583,-2.27,
NGC_1245,-29.38,
NGC_2506,89.40,
Berkeley_81,48.14,
NGC_5822,-29.7,
Berkeley_69,5.2,
NGC_6134,-26.0,
NGC_6866,12.55,
Berkeley_33,77.80,
Berkeley_23,51.85,
Berkeley_104,,
NGC_2632,34.72,
NGC_6940,7.7,
NGC_2533,35.21,
Haffner_6,70.03,
King_7,-10.29,
NGC_2360,27.20,
NGC_2266,37.89,
NGC_2477,7.3,
Harvard_8,-27.2,
NGC_1342,-10.9,
NGC_2324,41.76,
NGC_6633,-29.1,
NGC_2818,-0.9,
NGC_1817,66.21,
King_8,-1.18,
NGC_2447,21.7,
Melotte_105,1.49,
King_19,-60.07,
NGC_2099,7.7,
NGC_2259,65.86,
NGC_1907,2.56,
NGC_1912,-0.65,
Berkeley_58,-87.00,
NGC_6475,-14.7,
NGC_2383,71.90,
NGC_6705,35.67,
NGC_2437,49.04,
Melotte_71,50.1,
NGC_4815,-29.53,
NGC_559,-77.25,
NGC_6603,17.91,
NGC_2168,-6.37,
NGC_6124,-20.80,
NGC_6067,-39.9,
NGC_2516,24.2,
Trumpler_9,-16.4,
NGC_5168,-34.38,
NGC_1444,-36.90,
NGC_6025,-7.66,
NGC_2422,34.3,
Waterloo_7,65.91,
NGC_7790,-80.2,
IC_361,-37.90,