,Cluster,[Fe/H]
0,Berkeley_17,
1,Collinder_261,
2,NGC_6791,0.23
3,Berkeley_39,-0.33
4,NGC_188,-0.04
5,Berkeley_20,
6,King_2,
7,NGC_6253,
8,Berkeley_32,-0.42
9,NGC_1193,-0.49
10,Berkeley_70,
11,Berkeley_18,
12,Berkeley_12,
13,Trumpler_5,
14,NGC_7142,
15,Melotte_66,-0.43
16,Berkeley_22,-0.42
17,NGC_7789,-0.15
18,Berkeley_99,
19,NGC_2682,-0.04
20,Berkeley_19,
21,NGC_6819,
22,Berkeley_21,-0.96
23,Berkeley_31,-0.6
24,NGC_2420,-0.38
25,NGC_6939,
26,NGC_2112,-1.3
27,NGC_1798,
28,NGC_2141,
29,IC_1311,-0.23
30,Berkeley_14,-1.2
31,Gulliver_55,
32,NGC_2354,-0.3
33,Gulliver_4,
34,NGC_2192,-0.22
35,Collinder_110,
36,Ruprecht_75,
37,NGC_2627,-0.08
38,Gulliver_1,
39,Trumpler_20,
40,Collinder_74,0.05
41,NGC_3960,-0.23
42,King_5,
43,NGC_7044,0.01
44,IC_166,
45,NGC_6005,
46,NGC_3680,-0.02
47,IC_4651,0.07
48,King_11,-0.34
49,NGC_2660,-0.27
50,NGC_2204,-0.43
51,NGC_2243,-0.57
52,Pismis_3,
53,NGC_2158,-0.29
54,Berkeley_29,
55,Tombaugh_2,-0.6
56,NGC_2849,
57,NGC_6583,
58,NGC_1245,
59,NGC_2506,-0.51
60,Berkeley_81,
61,NGC_5822,-0.07
62,Berkeley_69,
63,NGC_6134,0.2
64,NGC_6866,
65,Berkeley_33,
66,Berkeley_23,
67,Berkeley_104,
68,NGC_2632,0.13
69,NGC_6940,0.01
70,NGC_2533,
71,Haffner_6,
72,King_7,0.03
73,NGC_2360,-0.15
74,NGC_2266,
75,NGC_2477,-0.03
76,Harvard_8,
77,NGC_1342,-0.2
78,NGC_2324,-0.38
79,NGC_6633,-0.05
80,NGC_2818,-0.3
81,NGC_1817,-0.31
82,King_8,
83,NGC_2447,-0.1
84,Melotte_105,0
85,King_19,
86,NGC_2099,0.14
87,NGC_2259,
88,NGC_1907,
89,NGC_1912,
90,Berkeley_58,0.09
91,NGC_6475,0.04
92,NGC_2383,
93,NGC_6705,-0.1
94,NGC_2437,-0.03
95,Melotte_71,-0.33
96,NGC_4815,-0.19
97,NGC_559,
98,NGC_6603,
99,NGC_2168,-0.27
100,NGC_6124,
101,NGC_6067,0.08
102,NGC_2516,-0.07
103,Trumpler_9,
104,NGC_5168,0.05
105,NGC_1444,
106,NGC_6025,0.19
107,NGC_2422,0.11
108,Waterloo_7,
109,NGC_7790,-0.22
110,IC_361,